Block	Trial	A	B	Duration	Hit
1	0	1	16	0.0	false
1	1	1	16	0.4	true
1	2	2	16	0.5	true
1	3	0	16	0.3	true
1	4	0	16	0.4	true
1	5	0	16	0.4	true
1	6	1	16	0.3	true
1	7	0	16	0.4	true
1	8	1	16	0.4	true
1	9	2	16	0.7	true
1	10	2	16	1.1	true
2	0	2	9	0.5	false
2	1	0	9	0.4	true
2	2	1	9	0.5	true
2	3	1	9	0.4	true
2	4	2	9	0.6	true
2	5	2	9	0.8	true
2	6	1	9	0.5	true
2	7	0	9	0.4	true
2	8	2	9	0.7	true
2	9	1	9	0.4	true
2	10	0	9	0.4	true
3	0	1	4	0.3	true
3	1	0	4	0.3	true
3	2	0	4	0.4	true
3	3	1	4	0.4	true
3	4	2	4	0.8	true
3	5	0	4	0.4	true
3	6	2	4	1.0	true
3	7	1	4	0.5	true
3	8	2	4	0.5	true
3	9	1	4	0.5	true
3	10	2	4	0.5	true
4	0	1	25	0.4	true
4	1	0	25	0.6	true
4	2	0	25	0.4	true
4	3	2	25	1.0	true
4	4	1	25	0.5	true
4	5	0	25	0.4	true
4	6	0	25	0.5	true
4	7	1	25	0.4	true
4	8	2	25	1.0	true
4	9	2	25	1.7	true
4	10	2	25	1.6	true
