Block	Trial	A	B	Duration	Hit
1	0	2	9	1.1	true
1	1	1	9	2.0	true
1	2	1	9	0.7	true
1	3	1	9	0.6	true
1	4	0	9	0.9	false
1	5	0	9	2.4	true
1	6	2	9	1.9	true
1	7	1	9	0.8	true
1	8	2	9	1.8	true
1	9	2	9	1.2	true
1	10	0	9	1.5	true
2	0	0	4	0.7	true
2	1	1	4	0.8	true
2	2	2	4	0.9	true
2	3	2	4	1.3	true
2	4	1	4	1.1	false
2	5	0	4	1.2	true
2	6	0	4	0.9	true
2	7	1	4	0.8	true
2	8	0	4	1.1	true
2	9	2	4	1.3	true
2	10	2	4	0.8	true
3	0	2	25	2.8	true
3	1	0	25	1.1	true
3	2	0	25	1.2	true
3	3	2	25	1.6	true
3	4	1	25	0.8	true
3	5	0	25	1.2	true
3	6	0	25	0.7	true
3	7	2	25	4.8	true
3	8	2	25	2.0	true
3	9	1	25	0.8	true
3	10	1	25	0.7	true
4	0	2	16	1.3	true
4	1	2	16	3.3	false
4	2	0	16	1.2	true
4	3	1	16	0.5	true
4	4	0	16	0.6	true
4	5	0	16	0.8	true
4	6	1	16	0.4	true
4	7	2	16	2.0	true
4	8	0	16	0.8	true
4	9	2	16	2.8	false
4	10	1	16	0.6	true
