User,Block,Trial,A,B,Duration,Hit
3,1,0,1,4,635,TRUE
3,1,1,1,4,516,TRUE
3,1,2,0,4,462,TRUE
3,1,3,2,4,832,TRUE
3,1,4,1,4,430,TRUE
3,1,5,0,4,674,TRUE
3,1,6,2,4,659,TRUE
3,1,7,0,4,790,TRUE
3,1,8,2,4,914,TRUE
3,1,9,0,4,791,TRUE
3,1,10,2,4,678,TRUE
3,2,0,1,16,873,TRUE
3,2,1,2,16,1071,TRUE
3,2,2,0,16,683,TRUE
3,2,3,1,16,570,TRUE
3,2,4,1,16,444,TRUE
3,2,5,1,16,506,TRUE
3,2,6,0,16,557,TRUE
3,2,7,2,16,741,FALSE
3,2,8,2,16,2811,TRUE
3,2,9,2,16,1949,TRUE
3,2,10,0,16,587,TRUE
3,3,0,1,25,670,TRUE
3,3,1,1,25,575,TRUE
3,3,2,0,25,683,TRUE
3,3,3,2,25,1072,TRUE
3,3,4,0,25,715,TRUE
3,3,5,0,25,757,TRUE
3,3,6,2,25,1781,TRUE
3,3,7,0,25,1422,TRUE
3,3,8,1,25,654,TRUE
3,3,9,2,25,1470,TRUE
3,3,10,1,25,581,TRUE
3,4,0,0,9,886,TRUE
3,4,1,1,9,464,TRUE
3,4,2,0,9,624,TRUE
3,4,3,2,9,1478,TRUE
3,4,4,0,9,1038,TRUE
3,4,5,2,9,970,TRUE
3,4,6,2,9,1290,TRUE
3,4,7,1,9,432,TRUE
3,4,8,1,9,397,TRUE
3,4,9,0,9,737,TRUE
3,4,10,2,9,879,TRUE
