User,Block,Trial,A,B,Duration,Hit
2,1,0,0,4,1172,TRUE
2,1,1,2,4,2343,TRUE
2,1,2,1,4,2229,TRUE
2,1,3,1,4,834,TRUE
2,1,4,0,4,844,TRUE
2,1,5,2,4,1363,TRUE
2,1,6,0,4,1075,TRUE
2,1,7,2,4,2424,TRUE
2,1,8,1,4,1239,TRUE
2,1,9,1,4,1369,TRUE
2,1,10,2,4,1006,TRUE
2,2,0,0,16,1142,TRUE
2,2,1,1,16,793,TRUE
2,2,2,0,16,869,TRUE
2,2,3,0,16,962,TRUE
2,2,4,2,16,3451,TRUE
2,2,5,2,16,3020,TRUE
2,2,6,1,16,1329,TRUE
2,2,7,0,16,909,TRUE
2,2,8,1,16,1009,TRUE
2,2,9,2,16,1691,TRUE
2,2,10,1,16,812,TRUE
2,3,0,0,9,1320,TRUE
2,3,1,1,9,1116,TRUE
2,3,2,2,9,3453,TRUE
2,3,3,2,9,2966,FALSE
2,3,4,1,9,1071,TRUE
2,3,5,0,9,970,TRUE
2,3,6,2,9,1338,TRUE
2,3,7,1,9,598,TRUE
2,3,8,0,9,815,TRUE
2,3,9,2,9,1137,TRUE
2,3,10,1,9,862,TRUE
2,4,0,0,25,815,TRUE
2,4,1,2,25,2617,FALSE
2,4,2,2,25,3378,TRUE
2,4,3,1,25,1194,TRUE
2,4,4,1,25,754,TRUE
2,4,5,0,25,987,TRUE
2,4,6,2,25,2513,TRUE
2,4,7,0,25,1037,TRUE
2,4,8,2,25,1255,TRUE
2,4,9,1,25,779,TRUE
2,4,10,1,25,974,TRUE
