User,Block,Trial,A,B,Duration,Hit
0,1,0,1,16,1904,TRUE
0,1,1,1,16,700,TRUE
0,1,2,2,16,483,FALSE
0,1,3,0,16,994,TRUE
0,1,4,0,16,1162,TRUE
0,1,5,0,16,791,TRUE
0,1,6,1,16,1818,TRUE
0,1,7,0,16,1204,TRUE
0,1,8,1,16,518,TRUE
0,1,9,2,16,6482,FALSE
0,1,10,2,16,1721,FALSE
0,2,0,2,9,1831,TRUE
0,2,1,0,9,1138,TRUE
0,2,2,1,9,829,TRUE
0,2,3,1,9,0,FALSE
0,2,4,2,9,4826,TRUE
0,2,5,2,9,2670,TRUE
0,2,6,1,9,1246,TRUE
0,2,7,0,9,707,TRUE
0,2,8,2,9,351,FALSE
0,2,9,1,9,1166,TRUE
0,2,10,0,9,574,TRUE
0,3,0,1,4,774,TRUE
0,3,1,0,4,423,TRUE
0,3,2,0,4,497,TRUE
0,3,3,1,4,493,TRUE
0,3,4,2,4,778,FALSE
0,3,5,0,4,957,TRUE
0,3,6,2,4,539,TRUE
0,3,7,1,4,863,TRUE
0,3,8,2,4,237,TRUE
0,3,9,1,4,287,TRUE
0,3,10,2,4,992,FALSE
0,4,0,1,25,872,TRUE
0,4,1,0,25,610,TRUE
0,4,2,0,25,383,TRUE
0,4,3,2,25,5840,FALSE
0,4,4,1,25,629,TRUE
0,4,5,0,25,817,TRUE
0,4,6,0,25,750,TRUE
0,4,7,1,25,701,TRUE
0,4,8,2,25,6144,TRUE
0,4,9,2,25,1488,TRUE
0,4,10,2,25,2678,TRUE
