User,Block,Trial,A,B,Duration,Hit
4,1,0,0,4,340,TRUE
4,1,1,2,4,585,TRUE
4,1,2,2,4,512,TRUE
4,1,3,2,4,623,TRUE
4,1,4,0,4,511,TRUE
4,1,5,1,4,542,TRUE
4,1,6,1,4,416,TRUE
4,1,7,1,4,402,TRUE
4,1,8,0,4,355,TRUE
4,1,9,1,4,288,TRUE
4,1,10,0,4,398,TRUE
4,2,0,1,9,759,TRUE
4,2,1,0,9,407,TRUE
4,2,2,2,9,1010,TRUE
4,2,3,0,9,785,TRUE
4,2,4,1,9,655,TRUE
4,2,5,1,9,372,TRUE
4,2,6,0,9,689,TRUE
4,2,7,1,9,433,TRUE
4,2,8,2,9,1475,TRUE
4,2,9,0,9,705,TRUE
4,2,10,2,9,624,TRUE
4,3,0,1,25,949,TRUE
4,3,1,1,25,465,TRUE
4,3,2,0,25,378,TRUE
4,3,3,1,25,561,TRUE
4,3,4,2,25,348,FALSE
4,3,5,1,25,733,TRUE
4,3,6,0,25,288,TRUE
4,3,7,2,25,2381,TRUE
4,3,8,2,25,2481,TRUE
4,3,9,0,25,561,TRUE
4,3,10,0,25,400,TRUE
4,4,0,0,16,662,TRUE
4,4,1,1,16,428,TRUE
4,4,2,1,16,347,TRUE
4,4,3,1,16,320,TRUE
4,4,4,0,16,249,TRUE
4,4,5,0,16,280,TRUE
4,4,6,2,16,751,TRUE
4,4,7,2,16,783,TRUE
4,4,8,0,16,558,TRUE
4,4,9,2,16,1199,TRUE
4,4,10,1,16,497,TRUE
