Block	Trial	A	B	Duration	Hit
1	0	1	4	1.0	true
1	1	1	4	0.8	true
1	2	0	4	0.7	false
1	3	2	4	4.1	false
1	4	1	4	0.8	true
1	5	0	4	0.7	true
1	6	2	4	1.4	true
1	7	0	4	4.9	false
1	8	2	4	1.2	true
1	9	0	4	2.2	true
1	10	2	4	3.1	false
2	0	1	16	0.9	true
2	1	2	16	2.2	true
2	2	0	16	2.2	true
2	3	1	16	0.8	true
2	4	1	16	0.7	true
2	5	1	16	0.9	true
2	6	0	16	0.6	true
2	7	2	16	2.7	true
2	8	2	16	2.1	true
2	9	2	16	2.2	true
2	10	0	16	1.6	true
3	0	1	25	1.1	true
3	1	1	25	1.0	true
3	2	0	25	1.5	true
3	3	2	25	2.6	true
3	4	0	25	1.1	true
3	5	0	25	0.8	true
3	6	2	25	0.7	true
3	7	0	25	0.7	true
3	8	1	25	0.6	true
3	9	2	25	3.0	false
3	10	1	25	0.9	true
4	0	0	9	1.1	true
4	1	1	9	0.5	true
4	2	0	9	0.6	true
4	3	2	9	2.8	true
4	4	0	9	1.6	true
4	5	2	9	1.3	true
4	6	2	9	2.4	true
4	7	1	9	0.8	true
4	8	1	9	0.9	true
4	9	0	9	0.6	true
4	10	2	9	2.0	true
