Block	Trial	A	B	Duration	Hit
1	0	0	4	1.0	true
1	1	2	4	3.6	true
1	2	1	4	0.9	true
1	3	1	4	1.3	true
1	4	0	4	2.7	true
1	5	2	4	1.6	true
1	6	0	4	0.9	true
1	7	2	4	1.2	true
1	8	1	4	0.8	true
1	9	1	4	0.9	true
1	10	2	4	1.0	true
2	0	0	16	2.2	true
2	1	1	16	1.7	true
2	2	0	16	0.9	true
2	3	0	16	1.0	true
2	4	2	16	1.4	true
2	5	2	16	3.1	true
2	6	1	16	1.2	true
2	7	0	16	1.1	true
2	8	1	16	0.8	true
2	9	2	16	2.1	true
2	10	1	16	1.1	true
3	0	0	9	2.1	true
3	1	1	9	0.9	true
3	2	2	9	1.7	true
3	3	2	9	2.3	true
3	4	1	9	0.9	true
3	5	0	9	1.3	true
3	6	2	9	2.5	true
3	7	1	9	1.0	true
3	8	0	9	2.0	true
3	9	2	9	1.6	true
3	10	1	9	1.9	true
4	0	0	25	1.4	true
4	1	2	25	4.2	true
4	2	2	25	4.1	true
4	3	1	25	1.0	true
4	4	1	25	0.9	true
4	5	0	25	1.7	true
4	6	2	25	4.6	true
4	7	0	25	2.3	true
4	8	2	25	4.4	true
4	9	1	25	0.7	true
4	10	1	25	0.7	true
