Block	Trial	A	B	Duration	Hit
1	0	0	4	1419.0	true
1	1	2	4	911.0	true
1	2	2	4	1517.0	true
1	3	2	4	1162.0	true
1	4	1	4	1341.0	true
1	5	0	4	1325.0	true
1	6	0	4	2558.0	true
1	7	0	4	1632.0	true
1	8	1	4	880.0	true
1	9	1	4	638.0	true
1	10	2	4	587.0	true
2	0	1	25	872.0	true
2	1	0	25	1265.0	true
2	2	0	25	720.0	true
2	3	0	25	1386.0	true
2	4	2	25	2193.0	true
2	5	1	25	1744.0	true
2	6	2	25	3008.0	true
2	7	0	25	1208.0	true
2	8	2	25	1487.0	true
2	9	1	25	894.0	true
2	10	2	25	1530.0	true
3	0	2	16	1732.0	true
3	1	0	16	609.0	true
3	2	2	16	1409.0	true
3	3	1	16	835.0	true
3	4	2	16	1084.0	true
3	5	2	16	1376.0	true
3	6	1	16	689.0	true
3	7	1	16	623.0	true
3	8	1	16	865.0	true
3	9	0	16	907.0	true
3	10	0	16	639.0	true
4	0	0	9	950.0	true
4	1	1	9	528.0	true
4	2	2	9	2447.0	true
4	3	0	9	1291.0	true
4	4	0	9	832.0	true
4	5	0	9	1041.0	true
4	6	1	9	716.0	true
4	7	2	9	1518.0	true
4	8	2	9	1761.0	true
4	9	2	9	1931.0	true
4	10	1	9	703.0	true
