Block	Trial	A	B	Duration	Hit
1	0	0	4	1.1	true
1	1	2	4	1.1	true
1	2	2	4	1.1	true
1	3	2	4	1.7	true
1	4	1	4	1.9	true
1	5	0	4	3.1	true
1	6	0	4	1.7	true
1	7	0	4	1.6	true
1	8	1	4	1.0	true
1	9	1	4	0.8	true
1	10	2	4	1.2	false
2	0	1	25	0.8	true
2	1	0	25	0.9	true
2	2	0	25	0.9	true
2	3	0	25	0.8	true
2	4	2	25	3.3	true
2	5	1	25	0.9	true
2	6	2	25	1.1	false
2	7	0	25	0.7	true
2	8	2	25	1.3	true
2	9	1	25	0.8	true
2	10	2	25	1.0	false
3	0	2	16	0.9	true
3	1	0	16	0.7	true
3	2	2	16	1.4	true
3	3	1	16	0.7	true
3	4	2	16	1.1	true
3	5	2	16	1.1	true
3	6	1	16	0.7	true
3	7	1	16	0.8	true
3	8	1	16	0.6	true
3	9	0	16	0.9	true
3	10	0	16	0.5	true
4	0	0	9	0.6	true
4	1	1	9	0.6	true
4	2	2	9	1.0	true
4	3	0	9	0.7	true
4	4	0	9	0.8	true
4	5	0	9	0.6	true
4	6	1	9	0.6	true
4	7	2	9	1.0	false
4	8	2	9	1.0	true
4	9	2	9	0.8	true
4	10	1	9	0.5	true
