Block	Trial	A	B	Duration	Hit
1	0	0	4	0.6	false
1	1	2	4	1.2	true
1	2	2	4	1.1	true
1	3	2	4	0.8	true
1	4	0	4	0.8	true
1	5	1	4	1.2	true
1	6	1	4	0.9	true
1	7	1	4	0.5	true
1	8	0	4	1.8	false
1	9	1	4	0.7	true
1	10	0	4	0.8	true
2	0	1	9	1.1	true
2	1	0	9	0.9	false
2	2	2	9	1.0	true
2	3	0	9	1.4	true
2	4	1	9	0.7	true
2	5	1	9	0.8	true
2	6	0	9	1.2	true
2	7	1	9	0.7	false
2	8	2	9	1.4	true
2	9	0	9	1.4	true
2	10	2	9	1.4	true
3	0	1	25	1.4	true
3	1	1	25	0.9	true
3	2	0	25	2.1	true
3	3	1	25	0.7	true
3	4	2	25	2.6	false
3	5	1	25	0.8	true
3	6	0	25	1.2	true
3	7	2	25	1.5	true
3	8	2	25	5.0	false
3	9	0	25	1.2	true
3	10	0	25	1.1	true
4	0	0	16	1.3	true
4	1	1	16	3.1	true
4	2	1	16	0.7	true
4	3	1	16	0.9	true
4	4	0	16	1.1	true
4	5	0	16	0.7	true
4	6	2	16	1.3	true
4	7	2	16	1.3	true
4	8	0	16	0.9	true
4	9	2	16	2.9	true
4	10	1	16	1.5	true
